asset_id,title,description,keywords,library,category,subcategory,status,upload_by,upload_date,last_updated_by,last_update_date,admin_notes,bit_rate,dload_file_type,dload_resolution,dload_size
2400&libid=1&pageindex=34&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple shopping,"Couple shopping at a mall, going down escalators","Couple, shopping",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2402&libid=1&pageindex=38&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Family hanging out,Family in living room,"Family, House",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2403&libid=1&pageindex=92&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Teens and technology,"Teenage boy and girl, sitting on couch interacting with technology","House, Couple, Tablet",Qualcomm,Photography,Brand Photography,,,Super Admin,5/31/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2404&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman sitting in modern living room,Young woman sitting next to large windows in modern living room,"Building, Tablet, Laptop",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,62mb
2405&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young couple looking at laptop,Couple looking at laptop while sitting in their living room,"Couple, Laptop",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2406&libid=1&pageindex=98&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman standing in the kitchen holding smartphone,Young woman leaning on kitchen counter holding a smartphone,"House, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2407&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young couple sitting outdoors,Young couple sitting outdoors,"Couple, Outside , Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2408&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of man sitting outdoors,Young man sitting outdoors at a mall waiting,Smartphone,Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2409&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man looking up information using smartphone,Young man looking up information using smartphone,"Building, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2410&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman holding tablet outdoors at a park,Young woman smiling holding tablet at a park,"Tablet, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Brittany,3/25/2015,,,TIF,300 dpi,63.3mb
2411&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man sitting outside museum,Young student sitting outdoors on museum steps,"Outside , Building, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Brittany,3/25/2015,,,TIF,300 dpi,63.3mb
2412&libid=1&pageindex=41&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Group of friends,Young group of friends sitting at a park,"Group, Friends, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Brittany,3/12/2015,,,TIF,300 dpi,63.3mb
2413&libid=1&pageindex=35&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple walking outdoors,Young couple walking outdoors holding tablet,"Couple, Tablet, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Brittany,3/12/2015,,,TIF,300 dpi,63.3mb
2414&libid=1&pageindex=34&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple sitting inside Japanese-style room,"Young couple sitting indoors, contemplating the view","couple, young, profile, natural light, indoors, seating, bench, japanese garden, indian ethnicity",Qualcomm,Photography,Brand Photography,,,Super Admin,6/3/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2418&libid=1&pageindex=90&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,RGB color palette tool,Palette for use in Adobe Creative Suite onscreen,"ase, color, palette, swatch, rgb",Qualcomm,Brand Elements,Color pallete | old,,,Super Admin,6/4/2013,Brittany,10/7/2014,,,ZIP,N/A,1kb
2419&libid=1&pageindex=91&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Spot color palette tool,Palette for use in Adobe Creative Suite spot color,"ase, color, palette, swatch, spot",Qualcomm,Brand Elements,Color pallete | old,,,Super Admin,6/4/2013,Elysia,11/12/2014,,,ZIP,N/A,1kb
2420&libid=1&pageindex=83&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Qualcomm Powerpoint Template - Standard Guidelines,Qualcomm Powerpoint template file with Qualcomm font embedded.,"powerpoint, ppt, powerpoint template, ppt template",Qualcomm,PowerPoint Materials | old,Standard Template (Confidential),,,Super Admin,6/4/2013,Katrina,12/4/2015,,,ZIP,N/A,8.4mb
2421&libid=1&pageindex=84&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Qualcomm typeface,"TrueType font family used in printed applications. Includes Qualcomm Thin, Qualcomm Light, Qualcomm Regular, Qualcomm Semibold, Qualcomm Bold, and all Italic weights.","font, truetype, qualcomm, light, regular, semibold, bold",Qualcomm,Brand Elements,Fonts,,,Super Admin,6/4/2013,Christopher Dillman,3/4/2014,The Qualcomm typeface is for use by employees and agencies registered on the Qualcomm Brand Portal. Note that the Qualcomm typeface cannot be distributed to other third parties without permission. Questions on distribution should be directed to qualcommfont@qualcomm.com. Terms of the Qualcomm Font End-User License Agreement may be viewed here.,,ZIP,N/A,774kb
2422&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Worksheet Illustrator CMYK,For building diagram ecosystems Illustrator onscreen,"Diagram, ecosystem, create, illustrator, cmyk",Qualcomm,Brand Elements,Icons | old,,,Super Admin,6/4/2013,Brittany,8/20/2015,,,AI,N/A,1.9mb
2423&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Worksheet Illustrator RGB,For building diagram ecosystems Illustrator onscreen,"Diagram, ecosystem, create, illustrator, rgb",Qualcomm,Brand Elements,Icons | old,,,Super Admin,6/4/2013,Brittany,8/20/2015,,,AI,N/A,1.1mb
2425&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Worksheet InDesign CMYK,For building diagram ecosystems InDesign print,"Diagram, ecosystem, create, indesign, cmyk",Qualcomm,Brand Elements,Icons | old,,,Super Admin,6/4/2013,Brittany,8/20/2015,,,INDD,N/A,12mb
2426&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Worksheet InDesign RGB,For building diagram ecosystems InDesign onscreen,"Diagram, ecosystem, create, indesign, rgb",Qualcomm,Brand Elements,Icons | old,,,Super Admin,6/4/2013,Brittany,8/20/2015,,,INDD,N/A,11mb
2428&libid=1&pageindex=91&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Spot color palette tool,Palette for use in Adobe Creative Suite spot color,"ase, color, palette, swatch, spot",Qualcomm,Brand Elements,Color pallete | old,,,Super Admin,6/6/2013,Super Admin,6/6/2013,,,ZIP,N/A,1kb
2429&libid=1&pageindex=90&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,RGB color palette tool,Palette for use in Adobe Creative Suite onscreen,,Qualcomm,Brand Elements,Color pallete | old,,,Super Admin,6/6/2013,Super Admin,6/6/2013,,,ZIP,N/A,1kb
2430&libid=1&pageindex=31&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,CMYK color palette tool,Palette for use in Adobe Creative Suite print,"ase, color, palette, swatch, cmyk",Qualcomm,Brand Elements,Color pallete | old,,,Super Admin,6/6/2013,Super Admin,6/6/2013,,,ZIP,N/A,1kb
2431&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with surf board,Surfer at the beach,"beach, Ocean",Qualcomm,Photography,Brand Photography,,,Super Admin,6/6/2013,Tami,5/12/2015,,,TIF,300 dpi,90.6mb
2479&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male typing on computer,young male standing inside showroom typing on his computer,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,7/31/2013,Brittany,10/7/2014,,,JPEG,300 dpi,13.1mb
2480&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male standing up holding computer,young male standing up inside office building holding computer smiling,"Engineer, Laptop",Qualcomm,Photography,Employees,,,Super Admin,7/31/2013,Brittany,3/26/2015,,,JPEG,300 dpi,14.5mb
2481&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male typing on computer,young male sitting down typing on computer inside lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,7/31/2013,Elysia,11/10/2014,,,JPEG,300 dpi,12.2mb
2482&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male writing on board,young male standing up writing equations on board,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,7.1mb
2483&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young female engineer in lab,young female engineer standing in lab holding cell phone,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,11.1mb
2484&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male typing on computer,young male sitting down typing on computer inside booth of building,Engineer,Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,14.3mb
2485&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male working on computer,young male standing up typing on computer inside building,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,11.7mb
2486&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young female engineer on computer,young female engineer standing up typing on computer inside lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,8.1mb
2487&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young female engineer on computer,young female engineer smiling and working on the computer in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,14mb
2488&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male engineer working in lab,young male engineer stnading while typing on the keyboard in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,12.5mb
2490&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Male engineer typing on computer,young male working machine connected to computer,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,9.5mb
2493&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Male engineer typing on computer.jpg,man standing up working on computer with two monitors,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,8.5mb
2494&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young woman working on computer,young woman sitting inside museum with computer,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,6.1mb
2495&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male working in lab,young male standing inside lab testing hardware,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,9.7mb
2496&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young male working in lab,young man sitting and working on computer in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,11.6mb
2497&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman controlling robot,young woman indoors controlling yellow robot with remote,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,6.4mb
2498&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young male and woman collaborating,young man and woman working together inside sound lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,JPEG,300 dpi,8.8mb
2499&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman setting up sound,young woman inside sound lab setting up sound,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,9.3mb
2500&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young Woman testing hardware,young woman with controller in hand testing hardware in sound lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,14.3mb
2501&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man writing on white board,young man writing on white board inside lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,9.9mb
2502&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man on computer,young man typing on computer on table inside building,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,11.9mb
2503&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman working in lab,young woman connecting wires in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,12.6mb
2504&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman working in lab,young woman connecting wires in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,14.2mb
2505&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman working in lab,young woman connecting wires in lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,10.8mb
2506&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man in sound lab,young man holding wires in sound lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Elysia,11/10/2014,,,JPEG,300 dpi,17.5mb
2507&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman meditating,Young woman meditating in Japanese style room next to garden,"Asian, Tablet",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2508&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man standing in his studio,Young man standing in his studio,House,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2509&libid=1&pageindex=97&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman looking at laptop,Young woman sitting on a chair looking at laptop,"Laptop, House",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2510&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man looking at smartphone,Young man sitting looking at smartphone,"House, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2511&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman sitting on a staircase,Young woman sitting on a staircase looking away and smiling,House,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2512&libid=1&pageindex=46&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man seating on the couch holding smartphone,"Young man, sitting on the couch","Smartphone, House",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2513&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man holding tablet,Young man leaning against wall holding tablet,"Tablet, Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2514&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young woman holding laptop,Young woman holding laptop and smiling,Laptop,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2515&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Male Engineer at lets lab with microscope,Young engineer working at lab looking through a microscope,"Asian, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,TIF,300 dpi,63.3mb
2516&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Female Engineer workingin the lab,Young woman working with computer servers,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,TIF,300 dpi,63.3mb
2517&libid=1&pageindex=44&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Male Engineer working at computer lab,Young man working at computer lab,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,TIF,300 dpi,63.3mb
2518&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer sketching,Young man sketching formulas in breakroom,"Employee, Engineer, Building",Qualcomm,Photography,Employees,,,Super Admin,8/6/2013,Brittany,3/26/2015,,,TIF,300 dpi,63.3mb
2519&libid=1&pageindex=103&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young man excercising looking at smartphone,Young man in spin room looking at smartphone,"Sports, Health, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2520&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman in Yoga studio,"Young woman sitting ready to excersise, next to smartphone","Smartphone, Sports, Health",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2521&libid=1&pageindex=98&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,"Woman standing, holding smartphone",Young woman holding smartphone next to a laptop,"Laptop, Smartphone, House, Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2522&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of woman sitting,"Young woman, smiling","Woman, Light",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2523&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of man sitting,Young man sitting at airport's executive lounge holding tablet,Tablet,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
